,Dates,Time,Open,High,Low,Close,Volume,Average,BarCount
37,2013-12-27,00:00:00,183.76,184.18,183.53,183.85,543314,183.882,165143
38,2013-12-30,00:00:00,183.83,184.08,183.58,183.75,496783,183.749,169329
39,2013-12-31,00:00:00,183.81,184.98,183.76,184.98,748389,184.365,211292
40,2014-01-02,00:00:00,184.84,184.84,182.48,183.09,939236,183.235,316846
41,2014-01-03,00:00:00,182.88,183.6,182.62,182.66,693489,183.113,224280
42,2014-01-06,00:00:00,182.64,183.56,182.08,182.39,866274,182.638,243343
43,2014-01-07,00:00:00,182.83,183.79,182.42,183.29,761919,183.374,210565
44,2014-01-08,00:00:00,183.51,183.83,182.89,183.52,821243,183.44,244103
45,2014-01-09,00:00:00,183.57,184.21,182.8,183.69,787948,183.47,228235
46,2014-01-10,00:00:00,183.8,184.57,183.01,184.19,944986,183.702,241651
47,2014-01-13,00:00:00,183.8,184.18,181.34,181.93,1253366,182.558,317468
48,2014-01-14,00:00:00,182.08,183.77,181.74,183.66,897963,183.029,245198
49,2014-01-15,00:00:00,183.93,184.94,183.71,184.7,781439,184.531,215457
50,2014-01-16,00:00:00,184.42,184.5,183.83,184.12,615689,184.234,173437
51,2014-01-17,00:00:00,184.12,184.63,183.32,183.6,840894,183.906,213399
52,2014-01-21,00:00:00,184.15,184.77,183.05,184.14,772905,183.966,221549
53,2014-01-22,00:00:00,184.3,184.74,183.9,184.55,564949,184.285,171179
54,2014-01-23,00:00:00,184.03,184.73,181.82,182.84,1074966,182.646,308718
55,2014-01-24,00:00:00,182.82,182.82,178.43,178.59,1788526,180.179,501187
56,2014-01-27,00:00:00,179.05,179.63,177.12,178.04,1700759,178.433,514509
57,2014-01-28,00:00:00,178.6,180.33,177.99,180.17,976839,178.893,301348
58,2014-01-29,00:00:00,180.05,180.05,176.88,177.89,1934925,177.791,554615
59,2014-01-30,00:00:00,177.67,179.81,177.32,178.87,1108138,179.05,324920
60,2014-01-31,00:00:00,178.28,179.31,176.57,178.1,1631219,178.157,426076
61,2014-02-03,00:00:00,178.32,178.66,173.73,174.5,2296322,175.415,675542
62,2014-02-04,00:00:00,174.6,175.84,174.11,174.96,1486779,175.171,424819
63,2014-02-05,00:00:00,174.76,175.56,173.71,175.24,1441410,174.847,413894
64,2014-02-06,00:00:00,175.26,177.48,174.96,177.24,1084398,176.829,306655
65,2014-02-07,00:00:00,177.47,179.89,176.35,179.89,1497521,178.717,397963
66,2014-02-10,00:00:00,179.73,180.28,179.1,180.14,752169,179.718,200458
67,2014-02-11,00:00:00,180.6,182.44,180.03,181.71,1105621,181.417,304006
68,2014-02-12,00:00:00,182.16,182.83,181.7,181.99,859210,182.176,248807
69,2014-02-13,00:00:00,181.6,183.2,180.75,182.96,909051,182.403,259043
70,2014-02-14,00:00:00,182.6,184.36,182.58,184.01,840484,183.685,209337
71,2014-02-18,00:00:00,184.08,184.49,183.65,184.01,659442,184.231,190351
72,2014-02-19,00:00:00,184.0,184.95,182.87,183.3,1080505,183.913,302899
73,2014-02-20,00:00:00,182.7,184.52,182.45,184.39,929989,183.773,254531
74,2014-02-21,00:00:00,184.46,184.89,183.7,183.87,890647,184.338,229670
75,2014-02-24,00:00:00,184.0,186.15,183.89,185.07,963277,185.394,274323
76,2014-02-25,00:00:00,184.78,185.59,184.23,185.3,1029500,184.887,278601
77,2014-02-26,00:00:00,185.57,185.64,184.33,184.86,926773,184.967,270112
78,2014-02-27,00:00:00,185.1,186.07,183.84,185.84,884549,185.269,247689
79,2014-02-28,00:00:00,185.75,187.15,185.05,186.29,1386589,186.308,371337
80,2014-03-03,00:00:00,185.1,186.29,183.75,185.11,1485221,184.742,453034
81,2014-03-04,00:00:00,185.98,187.98,184.91,187.5,1545252,187.417,417257
82,2014-03-05,00:00:00,187.75,188.17,187.45,187.77,764963,187.734,224971
83,2014-03-06,00:00:00,188.26,188.61,187.78,188.24,756443,188.278,219807
84,2014-03-07,00:00:00,188.11,189.26,187.43,188.21,1114857,188.143,301910
85,2014-03-10,00:00:00,187.92,188.36,187.08,188.09,692045,187.774,203681
86,2014-03-11,00:00:00,188.14,188.71,186.79,186.85,934504,187.654,265889
87,2014-03-12,00:00:00,186.95,187.48,185.9,187.48,963480,186.795,259903
88,2014-03-13,00:00:00,187.56,187.99,184.66,185.3,1410305,185.951,423742
89,2014-03-14,00:00:00,184.91,185.8,184.44,184.67,1396929,185.054,411898
90,2014-03-17,00:00:00,184.32,186.77,183.87,186.36,923201,186.283,284961
91,2014-03-18,00:00:00,186.24,187.91,185.78,187.69,892836,187.39,276230
92,2014-03-19,00:00:00,187.75,188.6,185.47,186.59,1261538,187.042,375240
93,2014-03-20,00:00:00,186.4,187.93,185.77,187.75,1010794,187.206,296520
94,2014-03-21,00:00:00,187.3,188.22,186.03,186.13,1357131,187.09,356201
95,2014-03-24,00:00:00,186.47,187.07,184.62,185.59,1151116,185.486,379675
96,2014-03-25,00:00:00,185.38,186.94,185.27,186.68,959225,186.206,327375
97,2014-03-26,00:00:00,186.4,187.34,184.66,184.99,1085949,186.145,342006
98,2014-03-27,00:00:00,185.14,185.34,183.9,184.8,1299372,184.618,398202
99,2014-03-28,00:00:00,184.96,186.42,184.66,185.76,894079,185.692,269827
100,2014-03-31,00:00:00,186.14,187.3,186.02,186.92,890073,186.933,274200
101,2014-04-01,00:00:00,187.2,188.38,186.8,188.29,786695,187.898,225309
102,2014-04-02,00:00:00,188.49,189.13,188.14,188.68,681656,188.654,223902
103,2014-04-03,00:00:00,188.76,189.24,188.05,188.96,704227,188.656,232506
104,2014-04-04,00:00:00,189.05,189.74,186.1,186.59,1524965,187.7,468752
105,2014-04-07,00:00:00,185.99,186.32,183.96,184.59,1307870,184.942,404327
106,2014-04-08,00:00:00,184.63,185.4,183.59,185.1,1046289,184.706,324799
107,2014-04-09,00:00:00,185.09,187.22,185.0,187.2,877157,186.18,273468
108,2014-04-10,00:00:00,187.17,187.2,182.93,183.31,1513039,184.728,462370
109,2014-04-11,00:00:00,183.46,183.52,181.31,181.54,1532950,182.227,478588
110,2014-04-14,00:00:00,181.5,183.37,181.23,183.08,1140774,182.611,354269
111,2014-04-15,00:00:00,183.04,184.94,181.51,184.66,1442545,183.176,483095
112,2014-04-16,00:00:00,185.07,186.22,184.21,185.47,935029,185.417,287364
113,2014-04-17,00:00:00,185.4,186.91,183.68,186.38,877766,186.3,260042
114,2014-04-21,00:00:00,186.58,187.12,186.21,187.07,632883,186.832,172532
115,2014-04-22,00:00:00,186.76,188.4,186.76,187.88,754194,187.913,235736
116,2014-04-23,00:00:00,188.0,188.6,187.3,188.43,663296,187.619,212748
117,2014-04-24,00:00:00,188.52,188.79,186.93,187.79,809931,187.766,261231
118,2014-04-25,00:00:00,187.74,187.8,185.87,186.59,899470,186.522,280718
119,2014-04-28,00:00:00,186.94,187.69,184.96,187.24,1219621,186.514,367604
120,2014-04-29,00:00:00,187.48,188.04,186.9,187.51,761876,187.668,240619
121,2014-04-30,00:00:00,187.35,188.6,187.18,188.52,941837,187.941,283613
122,2014-05-01,00:00:00,188.58,188.84,187.73,188.41,824330,188.297,253271
123,2014-05-02,00:00:00,188.58,189.3,187.78,188.01,857601,188.38,283866
124,2014-05-05,00:00:00,188.04,188.55,186.62,188.28,678992,187.88,202648
125,2014-05-06,00:00:00,188.5,188.62,186.74,186.91,683321,187.388,220483
126,2014-05-07,00:00:00,187.03,188.13,186.01,187.88,987036,187.217,304842
127,2014-05-08,00:00:00,188.13,189.05,187.08,187.53,887093,188.136,301244
128,2014-05-09,00:00:00,187.65,188.09,186.83,188.07,758123,187.488,251430
129,2014-05-12,00:00:00,188.2,189.97,188.0,189.96,710586,189.416,217467
130,2014-05-13,00:00:00,190.01,190.42,189.23,189.99,592920,190.025,197116
131,2014-05-14,00:00:00,189.9,190.01,188.79,189.05,616778,189.381,196926
132,2014-05-15,00:00:00,189.16,189.16,186.48,187.33,1352963,187.296,385362
133,2014-05-16,00:00:00,187.17,188.23,186.72,188.14,857349,187.473,245140
134,2014-05-19,00:00:00,187.99,188.89,187.19,188.61,562684,188.453,165712
135,2014-05-20,00:00:00,188.83,188.91,187.07,187.31,954096,187.852,269482
136,2014-05-21,00:00:00,187.62,189.22,187.6,189.06,820749,188.734,240162
137,2014-05-22,00:00:00,189.23,189.98,188.86,189.63,533668,189.593,163817
